"SY","ATTEND_PERIOD","DIST_CODE","DIST_NAME","ORG_CODE","ORG_NAME","ORG_TYPE","STU_GRP","ATTEND_RATE","CNT_AVG_ABS","PCT_ABS_10_DAYS","PCT_CHRON_ABS_10","PCT_CHRON_ABS_20","PCT_UNEXC_10_DAYS","DISTRICT_AND_SCHOOL"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","Asian","96%","4.3","0%","0%","0%","0%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","Black or African American","94%","6.2","28.1%","29.8%","0%","10.5%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","Hispanic or Latino","92%","8.2","32.9%","30.8%","7.9%","14.1%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","Multi-Race, Not Hispanic or Latino","93.2%","6.9","27.3%","27.3%","0%","4.5%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","Native Hawaiian or Other Pacific Islander",,,,,,,"Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","White","92.8%","7.3","17.5%","15%","12.5%","5%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","High Needs","92.3%","7.9","31%","29.3%","7.3%","12.8%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","English Learners","94.3%","5.8","17.5%","17.5%","3.5%","4.9%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","Low Income","92.2%","7.9","31.7%","29.9%","7.3%","13.2%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","Students with Disabilities","91.2%","9.1","33.8%","32.9%","8.9%","12.9%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","Female","92.6%","7.5","26.3%","26.3%","7.5%","12.5%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810010","Edward P. Boland School","School","Male","92.2%","8","33.5%","30.8%","6.6%","12.4%","Springfield - Edward P. Boland School"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","All Students","91.4%","8.9","33.9%","30.5%","12%","21.2%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","American Indian or Alaska Native",,,,,,,"Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","Asian",,,,,,,"Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","Black or African American","91.6%","8.8","25.4%","20.9%","10.4%","14.9%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","Hispanic or Latino","91.5%","8.7","34.8%","32.8%","12.3%","22.5%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","Multi-Race, Not Hispanic or Latino","90.5%","9.9","62.5%","37.5%","12.5%","25%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","White","91.2%","9.2","40%","30%","10%","30%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","High Needs","91.3%","9","35%","31.4%","12.3%","22%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","English Learners","92.5%","7.7","25%","22.6%","9.5%","14.3%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","Low Income","91.3%","9","35.4%","31.6%","12.2%","22.8%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","Students with Disabilities","90.7%","9.7","37%","33.3%","15.7%","21.3%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","Female","92.1%","8.2","30.4%","27%","8.8%","18.9%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810030","Elias Brookings","School","Male","90.8%","9.6","37.5%","34%","15.3%","23.6%","Springfield - Elias Brookings"
"2026","March","02810000","Springfield","02810318","Emergence Academy","School","All Students","94.7%","5.4","17.1%","16.4%","4.4%","10.9%","Springfield - Emergence Academy"
"2026","March","02810000","Springfield","02810318","Emergence Academy","School","American Indian or Alaska Native",,,,,,,"Springfield - Emergence Academy"
"2026","March","02810000","Springfield","02810318","Emergence Academy","School","Asian","97.8%","2.4","0%","0%","0%","0%","Springfield - Emergence Academy"
"2026","March","02810000","Springfield","02810318","Emergence Academy","School","Black or African American","97.4%","2.7","6.4%","6.4%","0.7%","4.3%","Springfield - Emergence Academy"
"2026","March","02810000","Springfield","02810318","Emergence Academy","School","Hispanic or Latino","91.3%","8.8","32.5%","28.8%","9.4%","21.3%","Springfield - Emergence Academy"
"2026","March","02810000","Springfield","02810318","Emergence Academy","School","Multi-Race, Not Hispanic or Latino","95.6%","4.3","5.9%","23.5%","0%","5.9%","Springfield - Emergence Academy"
"2026","March","02810000","Springfield","02810318","Emergence Academy","School","White","96.8%","3.3","6.9%","6.9%","1.7%","1.7%","Springfield - Emergence Academy"
"2026","March","02810000","Springfield","02810318","Emergence Academy","School","High Needs","94.7%","5.4","17.1%","16.4%","4.4%","10.9%","Springfield - Emergence Academy"
